antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'vegetarian', 'high_calories_burned', 'high_strain'})",frozenset({'high_steps'}),0.13481188118811882,0.3004356435643564,0.10447524752475247,0.7749706227967097,2.579489615820844,1.0,0.06397295323987844,3.108769019982937,0.7077378856489186,0.3158524904214559,0.6783292700190738,0.5613582352053678
frozenset({'high_steps'}),"frozenset({'vegetarian', 'high_calories_burned', 'high_strain'})",0.3004356435643564,0.13481188118811882,0.10447524752475247,0.3477458476140258,2.579489615820844,1.0,0.06397295323987844,1.3264585831258955,0.8752967532770763,0.3158524904214559,0.2461129109335417,0.5613582352053678
"frozenset({'high_calories_burned', 'high_steps'})","frozenset({'vegetarian', 'high_strain'})",0.16411881188118813,0.25005940594059406,0.10447524752475247,0.6365830115830116,2.545727121075553,1.0,0.06343579492206645,2.0635815549682457,0.7264009882030176,0.33734015345268537,0.5154056317316773,0.5271923610338245
"frozenset({'vegetarian', 'high_strain'})","frozenset({'high_calories_burned', 'high_steps'})",0.25005940594059406,0.16411881188118813,0.10447524752475247,0.4178017104846373,2.545727121075553,1.0,0.06343579492206645,1.435732813324858,0.8096440249795567,0.33734015345268537,0.30349157536895155,0.5271923610338245
"frozenset({'vegetarian', 'high_calories_burned', 'high_strain'})","frozenset({'high_steps', 'low_resting_hr'})",0.13481188118811882,0.24102970297029702,0.08198019801980198,0.6081081081081081,2.5229592063308792,1.0,0.04948653034016273,1.93668282690338,0.6976980276073931,0.2789757412398922,0.48365318982100447,0.47411649243722853
"frozenset({'high_steps', 'low_resting_hr'})","frozenset({'vegetarian', 'high_calories_burned', 'high_strain'})",0.24102970297029702,0.13481188118811882,0.08198019801980198,0.340124876766349,2.522959206330879,1.0,0.04948653034016273,1.3111391661078458,0.7953408010389852,0.2789757412398922,0.23730445566008937,0.47411649243722853
"frozenset({'vegetarian', 'high_steps'})","frozenset({'high_calories_burned', 'high_strain'})",0.2537029702970297,0.16522772277227724,0.10447524752475247,0.411801436153606,2.4923265251386746,1.0,0.06255648348201157,1.4192014883016963,0.802319237684969,0.33224181360201505,0.29537841649485486,0.5220560392656812
"frozenset({'high_calories_burned', 'high_strain'})","frozenset({'vegetarian', 'high_steps'})",0.16522772277227724,0.2537029702970297,0.10447524752475247,0.6323106423777564,2.492326525138674,1.0,0.06255648348201157,2.0296943989053395,0.7172835997217744,0.33224181360201505,0.5073149925726145,0.5220560392656812
"frozenset({'vegetarian', 'high_strain'})","frozenset({'high_calories_burned', 'high_steps', 'low_resting_hr'})",0.25005940594059406,0.1318811881188119,0.08198019801980198,0.3278428888184986,2.4858957785787057,1.0,0.04900206646407215,1.2915415123039165,0.7970371594937639,0.27330340639028256,0.22573142986619935,0.47473225522006013
"frozenset({'high_calories_burned', 'high_steps', 'low_resting_hr'})","frozenset({'vegetarian', 'high_strain'})",0.1318811881188119,0.25005940594059406,0.08198019801980198,0.6216216216216216,2.4858957785787053,1.0,0.04900206646407215,1.9819858557284298,0.6885353855918757,0.27330340639028256,0.49545553157720457,0.47473225522006013
frozenset({'high_steps'}),"frozenset({'high_calories_burned', 'high_strain'})",0.3004356435643564,0.16522772277227724,0.12332673267326733,0.4104930134458213,2.4844076197284246,1.0,0.07368643544750514,1.4160515418268125,0.8540880566259901,0.3602498843128182,0.29381101572763013,0.5784488077775607
"frozenset({'high_calories_burned', 'high_strain'})",frozenset({'high_steps'}),0.16522772277227724,0.3004356435643564,0.12332673267326733,0.7464046021093,2.484407619728424,1.0,0.07368643544750514,2.758584588893671,0.7157515623987802,0.3602498843128182,0.6374952560722276,0.5784488077775607
frozenset({'high_steps'}),"frozenset({'vegetarian', 'high_calories_burned', 'low_resting_hr', 'high_strain'})",0.3004356435643564,0.10986138613861386,0.08198019801980198,0.27287107830213553,2.483776037176973,1.0,0.048973921772375265,1.224182654958752,0.8539417489322972,0.24969843184559715,0.18312843598188835,0.5095429652505631
"frozenset({'vegetarian', 'high_calories_burned', 'low_resting_hr', 'high_strain'})",frozenset({'high_steps'}),0.10986138613861386,0.3004356435643564,0.08198019801980198,0.7462148521989906,2.483776037176973,1.0,0.048973921772375265,2.7565220522052205,0.6711170605597124,0.24969843184559715,0.6372240159660617,0.5095429652505631
frozenset({'high_strain'}),"frozenset({'high_calories_burned', 'high_steps'})",0.30613861386138613,0.16411881188118813,0.12332673267326733,0.4028460543337646,2.454600113882132,1.0,0.0730836270953828,1.3997750398956708,0.8540634723725229,0.35547945205479453,0.28559949170508653,0.5771469653908204
"frozenset({'high_calories_burned', 'high_steps'})",frozenset({'high_strain'}),0.16411881188118813,0.30613861386138613,0.12332673267326733,0.7514478764478764,2.454600113882132,1.0,0.0730836270953828,2.791613188503315,0.7089544222480149,0.35547945205479453,0.6417841826660319,0.5771469653908204
"frozenset({'vegetarian', 'high_steps', 'low_resting_hr'})","frozenset({'high_calories_burned', 'high_strain'})",0.20221782178217823,0.16522772277227724,0.08198019801980198,0.4054054054054054,2.453616128112772,1.0,0.04856820782276247,1.4039351935193518,0.7426065660577176,0.28718091009988905,0.2877164098342578,0.4507851571609961
"frozenset({'high_calories_burned', 'high_strain'})","frozenset({'vegetarian', 'high_steps', 'low_resting_hr'})",0.16522772277227724,0.20221782178217823,0.08198019801980198,0.49616490891658677,2.453616128112772,1.0,0.04856820782276247,1.5834192423999773,0.7097004775911692,0.28718091009988905,0.36845531920888674,0.4507851571609961
"frozenset({'vegetarian', 'high_calories_burned', 'high_steps'})",frozenset({'high_strain'}),0.1398811881188119,0.30613861386138613,0.10447524752475247,0.7468856172140429,2.439697520653892,1.0,0.0616522144887756,2.741295767160607,0.686083264138201,0.30589053803339517,0.6352090088273165,0.5440767025268145
frozenset({'high_strain'}),"frozenset({'vegetarian', 'high_calories_burned', 'high_steps'})",0.30613861386138613,0.1398811881188119,0.10447524752475247,0.341267787839586,2.439697520653892,1.0,0.0616522144887756,1.3057184634410024,0.8504769595064755,0.30589053803339517,0.2341381178262062,0.5440767025268145
"frozenset({'high_steps', 'low_resting_hr'})","frozenset({'high_calories_burned', 'high_strain'})",0.24102970297029702,0.16522772277227724,0.09710891089108911,0.40289188301018736,2.438403654364149,1.0,0.05728412194882855,1.398025338252042,0.7772315070093021,0.3141173456315654,0.2847053821997927,0.4953097957716325
"frozenset({'high_calories_burned', 'high_strain'})","frozenset({'high_steps', 'low_resting_hr'})",0.16522772277227724,0.24102970297029702,0.09710891089108911,0.5877277085330777,2.438403654364149,1.0,0.05728412194882855,1.8409442320976284,0.706654549783009,0.3141173456315654,0.4568004926142878,0.4953097957716325
"frozenset({'vegetarian', 'low_resting_hr', 'high_strain'})","frozenset({'high_calories_burned', 'high_steps'})",0.2060990099009901,0.16411881188118813,0.08198019801980198,0.39777094542659497,2.4236767307001745,1.0,0.04815547338496226,1.387978845874377,0.7398954385589472,0.2844187963726299,0.2795279243827122,0.4486441599719847
"frozenset({'high_calories_burned', 'high_steps'})","frozenset({'vegetarian', 'low_resting_hr', 'high_strain'})",0.16411881188118813,0.2060990099009901,0.08198019801980198,0.4995173745173745,2.423676730700174,1.0,0.04815547338496226,1.586270830747491,0.7027359026510309,0.2844187963726299,0.36959062688634664,0.4486441599719847
frozenset({'high_strain'}),"frozenset({'high_calories_burned', 'low_resting_hr', 'high_steps'})",0.30613861386138613,0.1318811881188119,0.09710891089108911,0.31720569210866756,2.405238356079236,1.0,0.05673498676600334,1.2714206926566094,0.842013694905659,0.28485130111524165,0.21347827215984744,0.5267710142225019
"frozenset({'high_calories_burned', 'low_resting_hr', 'high_steps'})",frozenset({'high_strain'}),0.1318811881188119,0.30613861386138613,0.09710891089108911,0.7363363363363363,2.4052383560792356,1.0,0.05673498676600334,2.6316155077922367,0.6729963473880997,0.28485130111524165,0.6200052792518547,0.5267710142225019
"frozenset({'high_calories_burned', 'low_resting_hr', 'high_strain'})",frozenset({'high_steps'}),0.13576237623762377,0.3004356435643564,0.09710891089108911,0.7152858809801633,2.380828960552218,1.0,0.056321054014312324,2.457076448628469,0.6710865294060216,0.2863816865218407,0.5930122562697647,0.5192564390400422
frozenset({'high_steps'}),"frozenset({'high_calories_burned', 'low_resting_hr', 'high_strain'})",0.3004356435643564,0.13576237623762377,0.09710891089108911,0.3232269970999209,2.380828960552218,1.0,0.056321054014312324,1.276997782209074,0.8290562864978605,0.2863816865218407,0.21691328369411617,0.5192564390400422
"frozenset({'high_calories_burned', 'low_resting_hr', 'high_strain'})","frozenset({'vegetarian', 'high_steps'})",0.13576237623762377,0.2537029702970297,0.08198019801980198,0.6038506417736289,2.3801480962822557,1.0,0.04753687991373395,1.8838779218127997,0.6709475036715596,0.26661514683153015,0.46918004164636645,0.4634926015611822
"frozenset({'vegetarian', 'high_steps'})","frozenset({'high_calories_burned', 'low_resting_hr', 'high_strain'})",0.2537029702970297,0.13576237623762377,0.08198019801980198,0.3231345613487356,2.3801480962822557,1.0,0.04753687991373395,1.2768233897190455,0.776980281528379,0.26661514683153015,0.21680632728693855,0.4634926015611822
