fact_key,time_key,workout_key,nutrition_key,user_id,total_steps,total_calories,very_active_minutes,sedentary_minutes,resting_heart_rate,sleep_duration_min,workout_type,protein_g,carbs_g,fat_g,nutrition_calories,is_high_protein,is_poultry,is_vegetarian,full_date,pca_1,pca_2,pca_3,pca_4,pca_5,cluster,recovery_ready,recovery_ready_next
1,1,3175,1,1503960366,13162,1985,25,728,62.78843159065629,327,Exercise 1,44.44,84.06,14.010000000000002,640.09,False,False,True,2016-04-12,-9.489463344171574,-3.4476798712396266,0.4184508108523232,1.2726074060516492,-0.1894365534414073,1,0,1.0
2,1,3508,1,1503960366,13162,1985,25,728,62.78843159065629,750,Exercise 6,44.44,84.06,14.010000000000002,640.09,False,False,True,2016-04-12,-9.489463344171574,-3.4476798712396266,0.4184508108523232,1.2726074060516492,-0.1894365534414073,1,1,1.0
3,1,861,1,1503960366,13162,1985,25,728,62.78843159065629,503,Exercise 8,44.44,84.06,14.010000000000002,640.09,False,False,True,2016-04-12,-9.489463344171574,-3.4476798712396266,0.4184508108523232,1.2726074060516492,-0.1894365534414073,1,1,0.0
4,1,1295,1,1503960366,13162,1985,25,728,62.78843159065629,274,Exercise 5,44.44,84.06,14.010000000000002,640.09,False,False,True,2016-04-12,-9.489463344171574,-3.4476798712396266,0.4184508108523232,1.2726074060516492,-0.1894365534414073,1,0,1.0
5,1,1131,1,1503960366,13162,1985,25,728,62.78843159065629,501,Exercise 9,44.44,84.06,14.010000000000002,640.09,False,False,True,2016-04-12,-9.489463344171574,-3.4476798712396266,0.4184508108523232,1.2726074060516492,-0.1894365534414073,1,1,0.0
6,1,1096,1,1503960366,13162,1985,25,728,62.78843159065629,429,Exercise 3,44.44,84.06,14.010000000000002,640.09,False,False,True,2016-04-12,-9.489463344171574,-3.4476798712396266,0.4184508108523232,1.2726074060516492,-0.1894365534414073,1,0,0.0
7,1,3773,1,1503960366,13162,1985,25,728,62.78843159065629,425,Exercise 2,44.44,84.06,14.010000000000002,640.09,False,False,True,2016-04-12,-9.489463344171574,-3.4476798712396266,0.4184508108523232,1.2726074060516492,-0.1894365534414073,1,0,0.0
8,1,3093,1,1503960366,13162,1985,25,728,62.78843159065629,441,Exercise 2,44.44,84.06,14.010000000000002,640.09,False,False,True,2016-04-12,-9.489463344171574,-3.4476798712396266,0.4184508108523232,1.2726074060516492,-0.1894365534414073,1,0,0.0
9,1,1639,1,1503960366,13162,1985,25,728,62.78843159065629,419,Exercise 6,44.44,84.06,14.010000000000002,640.09,False,False,True,2016-04-12,-9.489463344171574,-3.4476798712396266,0.4184508108523232,1.2726074060516492,-0.1894365534414073,1,0,0.0
10,1,2170,1,1503960366,13162,1985,25,728,62.78843159065629,366,Exercise 7,44.44,84.06,14.010000000000002,640.09,False,False,True,2016-04-12,-9.489463344171574,-3.4476798712396266,0.4184508108523232,1.2726074060516492,-0.1894365534414073,1,0,1.0
11,1,467,1,1503960366,13162,1985,25,728,62.78843159065629,514,Exercise 3,44.44,84.06,14.010000000000002,640.09,False,False,True,2016-04-12,-9.489463344171574,-3.4476798712396266,0.4184508108523232,1.2726074060516492,-0.1894365534414073,1,1,0.0
12,1,1239,1,1503960366,13162,1985,25,728,62.78843159065629,338,Exercise 10,44.44,84.06,14.010000000000002,640.09,False,False,True,2016-04-12,-9.489463344171574,-3.4476798712396266,0.4184508108523232,1.2726074060516492,-0.1894365534414073,1,0,1.0
13,1,331,1,1503960366,13162,1985,25,728,62.78843159065629,458,Exercise 10,44.44,84.06,14.010000000000002,640.09,False,False,True,2016-04-12,-9.489463344171574,-3.4476798712396266,0.4184508108523232,1.2726074060516492,-0.1894365534414073,1,1,0.0
14,2,1483,2,1503960366,10735,1797,21,776,62.78843159065629,384,Exercise 5,20.630000000000003,68.05000000000001,27.08,598.44,False,False,True,2016-04-13,-9.489463344171575,-3.4476798712396266,0.4184508108523233,1.2726074060516492,-0.18943655344140728,2,0,0.0
15,2,2136,2,1503960366,10735,1797,21,776,62.78843159065629,398,Exercise 2,20.630000000000003,68.05000000000001,27.08,598.44,False,False,True,2016-04-13,-9.489463344171575,-3.4476798712396266,0.4184508108523233,1.2726074060516492,-0.18943655344140728,2,0,1.0
16,2,3445,2,1503960366,10735,1797,21,776,62.78843159065629,531,Exercise 8,20.630000000000003,68.05000000000001,27.08,598.44,False,False,True,2016-04-13,-9.489463344171575,-3.4476798712396266,0.4184508108523233,1.2726074060516492,-0.18943655344140728,2,1,1.0
17,2,3172,2,1503960366,10735,1797,21,776,62.78843159065629,467,Exercise 1,20.630000000000003,68.05000000000001,27.08,598.44,False,False,True,2016-04-13,-9.489463344171575,-3.4476798712396266,0.4184508108523233,1.2726074060516492,-0.18943655344140728,2,1,0.0
18,2,2920,2,1503960366,10735,1797,21,776,62.78843159065629,295,Exercise 5,20.630000000000003,68.05000000000001,27.08,598.44,False,False,True,2016-04-13,-9.489463344171575,-3.4476798712396266,0.4184508108523233,1.2726074060516492,-0.18943655344140728,2,0,0.0
19,2,3736,2,1503960366,10735,1797,21,776,62.78843159065629,370,Exercise 5,20.630000000000003,68.05000000000001,27.08,598.44,False,False,True,2016-04-13,-9.489463344171575,-3.4476798712396266,0.4184508108523233,1.2726074060516492,-0.18943655344140728,2,0,0.0
20,2,131,2,1503960366,10735,1797,21,776,62.78843159065629,400,Exercise 5,20.630000000000003,68.05000000000001,27.08,598.44,False,False,True,2016-04-13,-9.489463344171575,-3.4476798712396266,0.4184508108523233,1.2726074060516492,-0.18943655344140728,2,0,1.0
21,2,1686,2,1503960366,10735,1797,21,776,62.78843159065629,455,Exercise 2,20.630000000000003,68.05000000000001,27.08,598.44,False,False,True,2016-04-13,-9.489463344171575,-3.4476798712396266,0.4184508108523233,1.2726074060516492,-0.18943655344140728,2,1,0.0
