full_date,totalminutesasleep,totaltimeinbed
2016-04-12,327,346
2016-04-13,384,407
2016-04-15,412,442
2016-04-16,340,367
2016-04-17,700,712
2016-04-19,304,320
2016-04-20,360,377
2016-04-21,325,364
2016-04-23,361,384
2016-04-24,430,449
2016-04-25,277,323
2016-04-26,245,274
2016-04-28,366,393
2016-04-29,341,354
2016-04-30,404,425
2016-05-01,369,396
2016-05-02,277,309
2016-05-03,273,296
2016-05-05,247,264
2016-05-06,334,367
2016-05-07,331,349
2016-05-08,594,611
2016-05-09,338,342
2016-05-10,383,403
2016-05-11,285,306
2016-04-29,119,127
2016-04-30,124,142
2016-05-02,796,961
2016-05-08,137,154
2016-04-15,644,961
2016-04-30,722,961
2016-05-01,590,961
2016-04-12,750,775
2016-04-13,398,422
2016-04-15,475,499
2016-04-26,296,315
2016-04-28,166,178
2016-04-12,503,546
2016-04-13,531,565
2016-04-14,545,568
2016-04-15,523,573
2016-04-16,524,567
2016-04-17,437,498
2016-04-19,498,540
2016-04-20,461,510
2016-04-21,477,514
2016-04-22,520,545
2016-04-23,522,554
2016-04-24,555,591
2016-04-25,506,531
2016-04-27,508,545
2016-04-28,513,545
2016-04-29,490,510
2016-04-30,573,607
2016-05-01,527,546
2016-05-02,511,543
2016-05-04,538,560
2016-05-05,468,485
2016-05-06,524,548
2016-05-07,511,521
2016-05-08,541,568
2016-05-09,531,556
2016-05-10,357,380
2016-05-11,523,553
2016-05-12,456,485
2016-04-23,61,69
2016-04-13,467,531
2016-04-14,445,489
2016-04-15,452,504
2016-04-17,556,602
2016-04-18,500,557
2016-04-19,465,514
2016-04-21,460,484
2016-04-22,405,461
2016-04-23,374,386
2016-04-24,442,459
2016-04-25,433,471
2016-04-26,436,490
2016-04-27,448,499
2016-04-28,408,450
2016-04-29,411,473
2016-04-12,274,469
2016-04-13,295,456
2016-04-14,291,397
2016-04-15,424,556
2016-04-16,283,510
2016-04-17,381,566
2016-04-18,412,522
2016-04-19,219,395
2016-04-20,152,305
2016-04-21,332,512
2016-04-22,355,476
2016-04-23,235,372
2016-04-24,310,526
2016-04-25,262,467
2016-04-26,250,371
2016-04-27,349,540
2016-04-28,261,423
2016-04-29,333,478
2016-04-30,237,382
2016-05-01,383,626
2016-05-02,230,384
2016-05-03,292,500
2016-05-04,213,336
2016-05-05,318,480
2016-05-06,323,512
2016-05-07,237,443
2016-05-08,259,456
2016-05-10,312,452
2016-04-12,501,541
2016-04-16,77,77
2016-05-03,322,332
2016-05-04,478,536
2016-05-05,226,248
2016-05-06,385,408
2016-05-08,364,402
2016-05-10,442,494
2016-04-14,535,557
2016-04-15,465,491
2016-04-16,506,522
2016-04-18,515,551
2016-04-19,461,498
2016-04-20,523,543
2016-04-21,59,65
2016-04-22,533,550
2016-04-23,692,722
2016-04-24,467,501
2016-04-25,488,506
2016-04-26,505,516
2016-04-27,286,307
2016-04-28,497,522
2016-04-29,523,546
2016-04-30,490,516
2016-05-01,484,500
2016-05-02,478,506
2016-05-03,474,512
2016-05-06,450,491
2016-05-07,507,530
2016-05-08,602,638
2016-05-09,535,565
2016-05-10,487,517
2016-05-11,529,558
2016-05-12,302,321
2016-04-15,499,526
2016-04-16,426,448
2016-04-17,619,641
2016-04-18,99,104
2016-04-19,329,338
2016-04-20,421,451
2016-04-21,442,458
2016-04-22,82,85
2016-04-23,478,501
2016-04-24,552,595
2016-04-26,319,346
2016-04-27,439,500
2016-04-28,428,458
2016-04-30,409,430
2016-05-01,547,597
2016-05-02,368,376
2016-05-04,390,414
2016-05-05,471,495
2016-05-05,471,495
2016-05-07,472,496
2016-05-08,529,541
2016-05-09,62,65
2016-05-10,354,375
2016-05-11,469,494
2016-04-12,429,457
2016-04-13,370,406
2016-04-14,441,492
2016-04-15,337,379
2016-04-16,462,499
2016-04-17,98,107
2016-04-19,388,424
2016-04-20,439,462
2016-04-21,436,469
2016-04-22,388,417
2016-04-25,328,345
2016-04-26,353,391
2016-04-27,332,374
2016-04-28,419,442
2016-04-29,106,108
2016-04-30,322,353
2016-05-01,439,459
2016-05-02,502,542
2016-05-03,417,450
2016-05-04,337,363
2016-05-05,462,513
2016-05-06,374,402
2016-05-07,401,436
2016-05-08,361,391
2016-05-09,457,533
2016-05-10,405,426
2016-05-11,499,530
2016-05-12,483,501
2016-04-21,126,137
2016-04-26,103,121
2016-04-29,171,179
2016-05-01,115,129
2016-05-08,123,134
2016-04-12,425,439
2016-04-13,400,430
2016-04-14,384,415
2016-04-15,253,257
2016-04-16,382,406
2016-04-17,591,612
2016-04-18,293,312
2016-04-19,457,487
2016-04-20,454,468
2016-04-21,425,434
2016-04-23,465,475
2016-04-24,480,506
2016-04-25,370,380
2016-04-26,421,429
2016-04-27,432,449
2016-04-28,442,461
2016-04-29,433,447
2016-04-30,479,501
2016-05-03,327,373
2016-05-04,412,434
2016-05-05,414,428
2016-05-06,404,449
2016-05-07,520,543
2016-05-07,520,543
2016-05-09,435,458
2016-05-10,416,431
2016-05-11,354,366
2016-05-12,404,442
2016-04-12,441,464
2016-04-13,455,488
2016-04-14,357,418
2016-04-15,377,409
2016-04-16,651,686
2016-04-17,350,402
2016-04-18,520,541
2016-04-19,357,410
2016-04-20,658,678
2016-04-21,399,431
2016-04-22,322,353
2016-04-23,631,725
2016-04-24,553,640
2016-04-25,433,468
2016-04-26,412,453
2016-04-27,347,391
2016-04-28,421,457
2016-04-29,450,495
2016-04-30,775,843
2016-05-01,622,686
2016-05-02,409,471
2016-05-03,380,429
2016-05-04,447,470
2016-05-05,419,464
2016-05-06,400,434
2016-05-07,442,470
2016-05-08,568,608
2016-05-09,453,494
2016-05-10,418,443
2016-05-11,463,486
2016-05-12,438,475
2016-04-12,419,438
2016-04-13,432,458
2016-04-14,477,497
2016-04-15,392,413
2016-04-16,406,445
2016-04-17,549,583
2016-04-18,527,553
2016-04-19,449,465
2016-04-20,447,480
2016-04-21,414,437
2016-04-22,338,366
2016-04-23,384,402
2016-04-24,543,615
2016-04-25,421,461
2016-04-26,354,377
2016-04-27,424,452
2016-04-28,361,372
2016-04-29,459,485
2016-04-30,412,433
2016-05-01,379,398
2016-05-02,525,553
2016-05-03,508,543
2016-05-04,603,634
2016-05-05,74,78
2016-05-10,504,562
2016-05-11,431,476
2016-04-16,380,398
2016-04-17,336,350
2016-04-18,493,510
2016-04-19,465,492
2016-04-20,474,502
2016-04-21,508,550
2016-04-22,480,546
2016-04-23,492,539
2016-04-24,353,367
2016-04-27,542,557
2016-04-28,393,416
2016-04-29,600,636
2016-05-01,507,575
2016-05-05,392,415
2016-05-06,658,698
2016-05-07,498,507
2016-05-08,555,603
2016-05-09,492,522
2016-04-13,235,260
2016-04-14,423,441
2016-04-15,391,406
2016-04-12,366,387
2016-04-13,630,679
2016-04-14,508,535
2016-04-15,370,386
2016-04-16,357,366
2016-04-17,427,446
2016-04-18,442,458
2016-04-19,476,535
2016-04-20,418,424
2016-04-21,451,457
2016-04-22,425,435
2016-04-23,528,546
2016-04-24,511,514
2016-04-25,400,415
2016-04-26,441,446
2016-04-27,455,467
2016-04-28,440,453
2016-04-29,433,447
2016-04-30,422,424
2016-05-01,411,426
2016-05-02,466,482
2016-05-03,394,418
2016-05-04,442,455
2016-05-05,467,491
2016-05-06,443,462
2016-05-07,298,334
2016-05-08,541,569
2016-05-09,489,497
2016-05-10,469,481
2016-05-11,452,480
2016-05-12,516,535
2016-04-16,79,82
2016-05-01,58,61
2016-04-12,514,525
2016-04-13,451,465
2016-04-14,472,476
2016-04-15,377,386
2016-04-19,472,483
2016-04-20,492,502
2016-04-21,390,411
2016-04-22,428,448
2016-04-24,681,704
2016-04-25,446,447
2016-04-26,485,500
2016-04-27,469,479
2016-04-28,354,367
2016-04-30,485,489
2016-05-01,388,407
2016-05-02,440,459
2016-05-03,456,461
2016-05-04,420,436
2016-05-06,322,333
2016-05-07,530,548
2016-05-08,481,510
2016-05-09,427,438
2016-05-11,451,463
2016-05-12,444,457
2016-04-20,486,493
2016-04-23,331,337
2016-05-07,74,75
2016-04-12,338,356
2016-04-13,447,487
2016-04-14,424,455
2016-04-15,513,533
2016-04-16,611,689
2016-04-17,525,591
2016-04-18,398,451
2016-04-19,387,421
2016-04-20,381,409
2016-04-21,396,417
2016-04-22,441,469
2016-04-23,565,591
2016-04-24,458,492
2016-04-25,388,402
2016-04-25,388,402
2016-04-26,550,584
2016-04-27,531,600
2016-04-28,506,556
2016-04-29,527,562
2016-04-30,468,555
2016-05-01,475,539
2016-05-02,351,385
2016-05-03,405,429
2016-05-04,441,477
2016-05-05,381,417
2016-05-06,323,355
2016-05-07,459,513
2016-05-08,545,606
2016-05-09,359,399
2016-05-10,342,391
2016-05-11,368,387
2016-05-12,496,546
2016-04-12,458,493
2016-04-13,531,552
2016-04-14,486,503
2016-04-15,363,377
2016-04-20,528,547
2016-04-22,391,407
2016-04-23,339,360
2016-04-27,423,428
2016-04-28,402,416
2016-04-29,398,406
2016-04-30,343,360
2016-05-01,503,527
2016-05-02,415,423
2016-05-03,516,545
2016-05-04,439,463
