antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'poultry_meal'}),frozenset({'high_protein_intake'}),0.13100990099009902,0.37465346534653465,0.13100990099009902,1.0,2.6691331923890065,1.0,0.08192658758945201,inf,0.719624464497311,0.3496828752642706,1.0,0.6748414376321353
"frozenset({'low_resting_hr', 'poultry_meal'})",frozenset({'high_protein_intake'}),0.10994059405940594,0.37465346534653465,0.10994059405940594,1.0,2.6691331923890065,1.0,0.06875096951279286,inf,0.7025896591616979,0.293446088794926,1.0,0.646723044397463
frozenset({'poultry_meal'}),"frozenset({'low_resting_hr', 'high_protein_intake'})",0.13100990099009902,0.3184950495049505,0.10994059405940594,0.8391777509068924,2.634821961004605,1.0,0.06821458915792569,4.2376285267624505,0.7140101083889752,0.3237695358059249,0.7640189569037097,0.5921827575723221
"frozenset({'high_steps', 'high_calories_burned'})","frozenset({'vegetarian', 'high_strain'})",0.20902970297029702,0.25005940594059406,0.12023762376237623,0.5752178855627131,2.300324930386206,1.0,0.06796778041368493,1.7654712111710724,0.7146650237869249,0.3548387096774194,0.4335789823858527,0.5280270612482555
"frozenset({'high_steps', 'high_calories_burned'})",frozenset({'high_strain'}),0.20902970297029702,0.30613861386138613,0.14693069306930692,0.7029177718832891,2.296076809838687,1.0,0.08293862954612292,2.335586987270155,0.7136481640334204,0.39901053990105395,0.5718421084505165,0.5914330127204285
"frozenset({'high_calories_burned', 'high_strain'})",frozenset({'high_steps'}),0.18542574257425742,0.35097029702970295,0.14693069306930692,0.7923964117898333,2.2577306925855667,1.0,0.08185176512106655,3.126293281179969,0.6838877758452403,0.37726255847061213,0.680132377208524,0.6055189009976023
"frozenset({'high_steps', 'vegetarian', 'high_calories_burned'})",frozenset({'high_strain'}),0.1748118811881188,0.30613861386138613,0.12023762376237623,0.6878115088355233,2.2467322895338895,1.0,0.06672095676894421,2.222571958211786,0.6724638060557496,0.3333333333333333,0.5500708103936623,0.5402835034475159
"frozenset({'high_steps', 'low_resting_hr', 'high_calories_burned'})",frozenset({'high_strain'}),0.16403960396039605,0.30613861386138613,0.11255445544554456,0.6861419604056012,2.2412787193067825,1.0,0.06233559847073816,2.2107491241431836,0.6625028321889223,0.3147286821705427,0.5476646404247392,0.5269002169427748
"frozenset({'vegetarian', 'high_calories_burned', 'high_strain'})",frozenset({'high_steps'}),0.1531089108910891,0.35097029702970295,0.12023762376237623,0.785307811691671,2.2375335415498414,1.0,0.06650094382903637,3.0230708815459857,0.6530701910038758,0.3132480396203054,0.6692105348556683,0.5639470676603243
"frozenset({'high_calories_burned', 'high_strain'})","frozenset({'high_steps', 'vegetarian'})",0.18542574257425742,0.29386138613861384,0.12023762376237623,0.6484408372490389,2.2066214475118913,1.0,0.06574815802372316,2.0085911239969683,0.6712936272573023,0.33487756452680345,0.5021385945338325,0.528802628867107
"frozenset({'low_resting_hr', 'high_calories_burned', 'high_strain'})",frozenset({'high_steps'}),0.14558415841584157,0.35097029702970295,0.11255445544554456,0.7731229597388466,2.2028159256833533,1.0,0.06145874012351731,2.860711256737185,0.6390747666069494,0.2931105610561056,0.6504365836835414,0.5469090312122353
"frozenset({'high_steps', 'low_resting_hr'})",frozenset({'high_strain'}),0.28427722772277225,0.30613861386138613,0.19041584158415842,0.6698244636388967,2.1879777111102383,1.0,0.10338760513675131,2.1014924175961904,0.7586134938891137,0.4760396039603961,0.5241477001645058,0.645908350836266
frozenset({'high_strain'}),"frozenset({'high_steps', 'low_resting_hr'})",0.30613861386138613,0.28427722772277225,0.19041584158415842,0.6219922380336352,2.1879777111102383,1.0,0.10338760513675131,1.893407607701222,0.7825150149294555,0.4760396039603961,0.47185170486660527,0.645908350836266
"frozenset({'vegetarian', 'high_strain'})",frozenset({'high_steps'}),0.25005940594059406,0.35097029702970295,0.1916039603960396,0.7662337662337663,2.183186932679147,1.0,0.10384053641799824,2.776404840484049,0.722662599442905,0.4679822015863804,0.639821979338699,0.6560800968383906
"frozenset({'vegetarian', 'high_strain'})","frozenset({'high_steps', 'low_resting_hr'})",0.25005940594059406,0.28427722772277225,0.15453465346534653,0.6179917643332278,2.173905272974924,1.0,0.08344845877855113,1.8735794295847497,0.7200548417210245,0.4068821689259645,0.4662622869308324,0.5807986127322311
frozenset({'high_strain'}),frozenset({'high_steps'}),0.30613861386138613,0.35097029702970295,0.23310891089108912,0.7614489003880984,2.16955368255467,1.0,0.12566335065189688,2.7207156203689795,0.7769213224786933,0.549785167195965,0.6324496421039472,0.7128165287316255
frozenset({'high_steps'}),frozenset({'high_strain'}),0.35097029702970295,0.30613861386138613,0.23310891089108912,0.6641841570751524,2.16955368255467,1.0,0.12566335065189688,2.0661961034813165,0.8305871106801749,0.549785167195965,0.5160188336842237,0.7128165287316255
"frozenset({'high_steps', 'low_resting_hr', 'vegetarian'})",frozenset({'high_strain'}),0.23508910891089108,0.30613861386138613,0.15453465346534653,0.657345013477089,2.1472136598054976,1.0,0.0825647995294579,2.0249563363415986,0.6984868004857754,0.39963129864809505,0.506162191226969,0.5810657797010284
"frozenset({'low_resting_hr', 'high_strain', 'vegetarian'})",frozenset({'high_steps'}),0.2060990099009901,0.35097029702970295,0.15453465346534653,0.7498078401229824,2.1363854618715084,1.0,0.08220002274286835,2.5941248650210653,0.6700075730484161,0.3839039748130658,0.6145135442461134,0.5950573842907848
"frozenset({'high_calories_burned', 'high_strain'})","frozenset({'high_steps', 'low_resting_hr'})",0.18542574257425742,0.28427722772277225,0.11255445544554456,0.6070055531824007,2.135259155454948,1.0,0.05984213939809823,1.821203271631511,0.6527001900426206,0.3151474828121535,0.45091247332091733,0.5014687838355582
"frozenset({'low_resting_hr', 'high_strain'})",frozenset({'high_steps'}),0.25473267326732674,0.35097029702970295,0.19041584158415842,0.7475124378109452,2.129845300691308,1.0,0.10101223958435449,2.570541286640979,0.7118014065550224,0.45851611672706466,0.61097687666136,0.6450268124509477
"frozenset({'high_steps', 'vegetarian'})",frozenset({'high_strain'}),0.29386138613861384,0.30613861386138613,0.1916039603960396,0.6520215633423181,2.1298246409305994,1.0,0.10164164297617882,1.9939781119862567,0.7512374576201631,0.46916214119472466,0.498489981415156,0.6389473922791797
frozenset({'high_strain'}),"frozenset({'high_steps', 'vegetarian'})",0.30613861386138613,0.29386138613861384,0.1916039603960396,0.6258732212160414,2.129824640930599,1.0,0.10164164297617882,1.887431357243608,0.7645299012196068,0.46916214119472466,0.4701794074988809,0.6389473922791797
"frozenset({'low_resting_hr', 'high_strain'})","frozenset({'high_steps', 'vegetarian'})",0.25473267326732674,0.29386138613861384,0.15453465346534653,0.6066542288557214,2.0644230833702113,1.0,0.07967855700421528,1.7952108950025436,0.6918365400282259,0.3921608040201005,0.44296238242327346,0.5662651198186963
"frozenset({'high_steps', 'high_strain'})",frozenset({'high_calories_burned'}),0.23310891089108912,0.35104950495049503,0.14693069306930692,0.6303092082908596,1.7954994933826947,1.0,0.06509792530144103,1.7553872306348277,0.5777246909957677,0.3360507246376812,0.43032512567705383,0.5244280698494009
"frozenset({'high_steps', 'vegetarian', 'high_strain'})",frozenset({'high_calories_burned'}),0.1916039603960396,0.35104950495049503,0.12023762376237623,0.6275320380322447,1.7875884431762386,1.0,0.05297514831879227,1.742298831880968,0.5450139510794367,0.2846427901743859,0.42604564630258623,0.4850205316515014
"frozenset({'vegetarian', 'high_strain'})",frozenset({'high_calories_burned'}),0.25005940594059406,0.35104950495049503,0.1531089108910891,0.6122901488755147,1.7441703812169165,1.0,0.06532568022742868,1.6738045039798097,0.5689270865502575,0.3417609618104668,0.4025586634387127,0.5242181791308982
